id,coursename,instructor,room,from_time,to_time,type,day,date,subgroup_name,group_name
79,Elective courses on Physical Education,,,09:00,10:30,Sports,Thursday,2023-09-21,B22-DSAI-04,BS - Year 1
80,Theoretical sports -Mental Health,Eleonora Ilina,108 (ONLY ON 22/06),10:40,12:10,lec,Thursday,2023-09-21,B22-DSAI-04,BS - Year 1
81,Capstone Project,Rustam Lukmanov,107( room 105 on 20/06-18/07),10:40,12:10,lec,Tuesday,2023-07-17,В21-SD-01,BS - Year 2
82,Elective courses on Physical Education,,,09:00,10:30,Sports,Wednesday,2023-07-18,В21-SD-01,BS - Year 2
83,Elective courses on Physical Education,,,09:00,10:30,Sports,Thursday,2023-07-19,В21-SD-01,BS - Year 2
84,Capstone Project,Rustam Lukmanov,107( room 105 on 20/06-18/07),10:40,12:10,lec,Tuesday,2023-07-24,В21-SD-02,BS - Year 2
85,Elective courses on Physical Education,,,09:00,10:30,Sports,Wednesday,2023-07-25,В21-SD-02,BS - Year 2
86,Elective courses on Physical Education,,,09:00,10:30,Sports,Thursday,2023-07-26,В21-SD-02,BS - Year 2
87,Capstone Project,Rustam Lukmanov,107( room 105 on 20/06-18/07),10:40,12:10,lec,Tuesday,2023-07-31,В21-SD-03,BS - Year 2
88,Elective courses on Physical Education,,,09:00,10:30,Sports,Wednesday,2023-08-01,В21-SD-03,BS - Year 2
89,Elective courses on Physical Education,,,09:00,10:30,Sports,Thursday,2023-08-02,В21-SD-03,BS - Year 2
90,Capstone Project,Rustam Lukmanov,107( room 105 on 20/06-18/07),10:40,12:10,lec,Tuesday,2023-08-07,В21-CS-01,BS - Year 2
91,Elective courses on Physical Education,,,09:00,10:30,Sports,Wednesday,2023-08-08,В21-CS-01,BS - Year 2
92,Elective courses on Physical Education,,,09:00,10:30,Sports,Thursday,2023-08-09,В21-CS-01,BS - Year 2
93,Capstone Project,Rustam Lukmanov,107( room 105 on 20/06-18/07),10:40,12:10,lec,Tuesday,2023-08-14,В21-DS-01,BS - Year 2
94,Elective courses on Physical Education,,,09:00,10:30,Sports,Wednesday,2023-08-15,В21-DS-01,BS - Year 2
95,Elective courses on Physical Education,,,09:00,10:30,Sports,Thursday,2023-08-16,В21-DS-01,BS - Year 2
96,Capstone Project,Rustam Lukmanov,107( room 105 on 20/06-18/07),10:40,12:10,lec,Tuesday,2023-08-21,В21-DS-02,BS - Year 2
97,Elective courses on Physical Education,,,09:00,10:30,Sports,Wednesday,2023-08-22,В21-DS-02,BS - Year 2
98,Elective courses on Physical Education,,,09:00,10:30,Sports,Thursday,2023-08-23,В21-DS-02,BS - Year 2
99,Capstone Project,Rustam Lukmanov,107( room 105 on 20/06-18/07),10:40,12:10,lec,Tuesday,2023-08-28,В21-AI-01,BS - Year 2
100,Elective courses on Physical Education,,,09:00,10:30,Sports,Wednesday,2023-08-29,В21-AI-01,BS - Year 2
101,Elective courses on Physical Education,,,09:00,10:30,Sports,Thursday,2023-08-30,В21-AI-01,BS - Year 2
102,Capstone Project,Rustam Lukmanov,107( room 105 on 20/06-18/07),10:40,12:10,lec,Tuesday,2023-09-04,В21-RO-01,BS - Year 2
103,Elective courses on Physical Education,,,09:00,10:30,Sports,Wednesday,2023-09-05,В21-RO-01,BS - Year 2
104,Elective courses on Physical Education,,,09:00,10:30,Sports,Thursday,2023-09-06,В21-RO-01,BS - Year 2
